EVI,NDRE,NDVI,date
1.392589133,0.504283595,0.7537782827,2023-01-16
1.102045346,0.3526826139,0.5615227705,2023-01-17
3.635842479,0.2439377175,0.3492237007,2023-02-07
2.004761778,0.3062387488,0.4545402304,2023-02-07
-1.004412345,0.3120232389,0.4439148964,2023-02-07
-1.992704218,0.2684726618,0.3906382433,2023-02-07
2.827385199,0.2233904292,0.3362099633,2023-02-07
-4.322726486,0.1099534429,0.156595778,2023-02-07
-1.177784709,0.1418067911,0.2016881576,2023-02-07
0.7629281431,0.1394805355,0.2072089721,2023-02-09
0.170197414,0.2332657079,0.3537569842,2023-02-09
-2.093755641,0.1445616702,0.2254387809,2023-02-09
0.7791170566,0.2849272053,0.4197337732,2023-02-09
0.8155994005,0.3460876812,0.4778913426,2023-02-09
-9.187373988,0.3031712541,0.4586916371,2023-02-09
-1.422108878,0.2396978769,0.3630516868,2023-02-09
20.24369738,0.1987517986,0.2742365909,2023-02-09
0.9690658292,0.2593637832,0.400712399,2023-02-09
1.760871699,0.2509233158,0.3842747584,2023-02-09
1.06136638,0.2388524399,0.3623146929,2023-02-09
