feature,importance
wetness,0.12054039224789934
ndvi_mean,0.09143061204561029
temporal_6,0.09096769495074114
temporal_3,0.08705145136307238
ndvi_min,0.08140646818943256
ndvi_max,0.0691170946800648
temporal_5,0.06566252650568362
ndvi_amplitude,0.06423425959434952
temporal_7,0.06413020349953004
temporal_1,0.061167746177029844
temporal_2,0.061051021261791155
temporal_4,0.05474762067800417
greenness,0.05344705408024491
temporal_8,0.01293899386255149
brightness,0.008020638386722385
temporal_10,0.007405745221447571
temporal_12,0.003415132231103344
temporal_9,0.002816937511973879
temporal_11,0.0004484075127475854
